INFO: Step: 10  Loss (uniform, nss, element centers, inside box): (0.05220191, [0.0032833153, 0.048908588, 1.001e-05, 0.0])     Steps/second: 0.748455156161951
INFO: Step: 20  Loss (uniform, nss, element centers, inside box): (0.051015273, [0.0043092016, 0.046696063, 1.001e-05, 0.0])    Steps/second: 1.5082277497603604
INFO: Step: 30  Loss (uniform, nss, element centers, inside box): (0.049602047, [0.0030189874, 0.04657305, 1.001e-05, 0.0])     Steps/second: 1.56135871842661
INFO: Step: 40  Loss (uniform, nss, element centers, inside box): (0.051594015, [0.0050080195, 0.046575986, 1.001e-05, 0.0])    Steps/second: 1.465127241828901
INFO: Step: 50  Loss (uniform, nss, element centers, inside box): (0.04848708, [0.0019749773, 0.04650209, 1.001e-05, 0.0])      Steps/second: 1.5501614782338768
INFO: Step: 60  Loss (uniform, nss, element centers, inside box): (0.050608877, [0.0038731226, 0.046725746, 1.001e-05, 0.0])    Steps/second: 1.563949468480294
INFO: Step: 70  Loss (uniform, nss, element centers, inside box): (0.051363345, [0.004901727, 0.04645161, 1.001e-05, 0.0])      Steps/second: 1.5554770909554005
INFO: Step: 80  Loss (uniform, nss, element centers, inside box): (0.04602397, [0.003761416, 0.042252544, 1.001e-05, 0.0])      Steps/second: 1.5842331501877505
INFO: Step: 90  Loss (uniform, nss, element centers, inside box): (0.04381927, [0.0024070535, 0.04140221, 1.001e-05, 0.0])      Steps/second: 1.4859058898117323
INFO: Step: 100 Loss (uniform, nss, element centers, inside box): (0.043434013, [0.0037428902, 0.039681114, 1.001e-05, 0.0])    Steps/second: 1.4398287709734532
INFO: Step: 110 Loss (uniform, nss, element centers, inside box): (0.040456906, [0.0052733505, 0.035173547, 1.001e-05, 0.0])    Steps/second: 1.561904797370202
INFO: Step: 120 Loss (uniform, nss, element centers, inside box): (0.03628234, [0.0030275113, 0.03324482, 1.001e-05, 0.0])      Steps/second: 1.462466940844815
INFO: Step: 130 Loss (uniform, nss, element centers, inside box): (0.03308325, [0.0021449854, 0.030928252, 1.001e-05, 0.0])     Steps/second: 1.6056838773880855
INFO: Step: 140 Loss (uniform, nss, element centers, inside box): (0.036791883, [0.0026918715, 0.03409, 1.001e-05, 0.0]Steps/second: 1.5400503964607992
INFO: Step: 150 Loss (uniform, nss, element centers, inside box): (0.029608252, [0.0020158223, 0.02758242, 1.001e-05, 0.0])     Steps/second: 1.5277440651044254
INFO: Step: 160 Loss (uniform, nss, element centers, inside box): (0.030001482, [0.0013245345, 0.028666938, 1.001e-05, 0.0])    Steps/second: 1.5608086650530797
INFO: Step: 170 Loss (uniform, nss, element centers, inside box): (0.026074113, [0.0018416344, 0.024222469, 1.001e-05, 0.0])    Steps/second: 1.59392549390628
INFO: Step: 180 Loss (uniform, nss, element centers, inside box): (0.025106851, [0.0018442414, 0.023252599, 1.001e-05, 0.0])    Steps/second: 1.545341867000953
INFO: Step: 190 Loss (uniform, nss, element centers, inside box): (0.024780588, [0.0023788228, 0.022391755, 1.001e-05, 0.0])    Steps/second: 1.541273291971114
INFO: Step: 200 Loss (uniform, nss, element centers, inside box): (0.02414851, [0.0016749059, 0.022463595, 1.001e-05, 0.0])     Steps/second: 1.6197341457419507
INFO: Step: 210 Loss (uniform, nss, element centers, inside box): (0.023197819, [0.00080630416, 0.022381505, 1.001e-05, 0.0])   Steps/second: 1.581415603715567
INFO: Step: 220 Loss (uniform, nss, element centers, inside box): (0.024542773, [0.0023267886, 0.022205975, 1.001e-05, 0.0])    Steps/second: 1.5655156456796897
INFO: Step: 230 Loss (uniform, nss, element centers, inside box): (0.025479786, [0.003634139, 0.021835638, 1.001e-05, 0.0])     Steps/second: 1.5489347395489197
INFO: Step: 240 Loss (uniform, nss, element centers, inside box): (0.023571681, [0.002307939, 0.021253733, 1.001e-05, 0.0])     Steps/second: 1.540069453052803
INFO: Step: 250 Loss (uniform, nss, element centers, inside box): (0.023551293, [0.0023741433, 0.021167139, 1.001e-05, 0.0])    Steps/second: 1.5359547013359567
INFO: Writing checkpoint to /mnt/c/users/jryan/documents/github/ldif/ldif/trained_models//sif-transcoder-ldif_7/1-hparams/train/model.ckpt...
INFO: Step: 260 Loss (uniform, nss, element centers, inside box): (0.021999208, [0.0009618395, 0.021027358, 1.001e-05, 0.0])    Steps/second: 0.922336089952257
INFO: Step: 270 Loss (uniform, nss, element centers, inside box): (0.020719606, [0.00084467436, 0.019864922, 1.001e-05, 0.0])   Steps/second: 1.1781191878645103
INFO: Step: 280 Loss (uniform, nss, element centers, inside box): (0.02099808, [0.000716561, 0.020271508, 1.001e-05, 0.0])      Steps/second: 1.4729454216701274
INFO: Step: 290 Loss (uniform, nss, element centers, inside box): (0.021094514, [0.00086074614, 0.020223757, 1.001e-05, 0.0])   Steps/second: 1.5558026211630722
INFO: Step: 300 Loss (uniform, nss, element centers, inside box): (0.023494987, [0.0021177898, 0.021367187, 1.001e-05, 0.0])    Steps/second: 1.5321826917622
INFO: Step: 310 Loss (uniform, nss, element centers, inside box): (0.021978796, [0.0021044756, 0.01986431, 1.001e-05, 0.0])     Steps/second: 1.5765842856461427
INFO: Step: 320 Loss (uniform, nss, element centers, inside box): (0.020083709, [0.0010982577, 0.01897544, 1.001e-05, 0.0])     Steps/second: 1.54767139199889
INFO: Step: 330 Loss (uniform, nss, element centers, inside box): (0.023326017, [0.0029802108, 0.020335797, 1.001e-05, 0.0])    Steps/second: 1.4698367656767457
INFO: Step: 340 Loss (uniform, nss, element centers, inside box): (0.0203012, [0.00054325646, 0.019747933, 1.001e-05, 0.0])     Steps/second: 1.2163654664478567
INFO: Step: 350 Loss (uniform, nss, element centers, inside box): (0.020881584, [0.001332393, 0.019539181, 1.001e-05, 0.0])     Steps/second: 1.0619025047689739
INFO: Step: 360 Loss (uniform, nss, element centers, inside box): (0.020774411, [0.0017649605, 0.01899944, 1.001e-05, 0.0])     Steps/second: 1.2249383698268321
INFO: Step: 370 Loss (uniform, nss, element centers, inside box): (0.024134405, [0.0029409302, 0.021183465, 1.001e-05, 0.0])    Steps/second: 1.4885902538831324
INFO: Step: 380 Loss (uniform, nss, element centers, inside box): (0.022231134, [0.0011357858, 0.021085339, 1.001e-05, 0.0])    Steps/second: 1.6038807889772047
INFO: Step: 390 Loss (uniform, nss, element centers, inside box): (0.022897964, [0.0027338283, 0.020154126, 1.001e-05, 0.0])    Steps/second: 1.5700296842870698
INFO: Step: 400 Loss (uniform, nss, element centers, inside box): (0.023870347, [0.0010711806, 0.022789156, 1.001e-05, 0.0])    Steps/second: 1.5941423732771474
INFO: Step: 410 Loss (uniform, nss, element centers, inside box): (0.020025436, [0.0015526578, 0.018462768, 1.001e-05, 0.0])    Steps/second: 1.5877386100882156
INFO: Step: 420 Loss (uniform, nss, element centers, inside box): (0.02176252, [0.0031794822, 0.018573027, 1.001e-05, 0.0])     Steps/second: 1.5375019171559874
INFO: Step: 430 Loss (uniform, nss, element centers, inside box): (0.018888365, [0.00034601477, 0.018532341, 1.001e-05, 0.0])   Steps/second: 1.4723090981931963
INFO: Step: 440 Loss (uniform, nss, element centers, inside box): (0.019571763, [0.0016823472, 0.017879406, 1.001e-05, 0.0])    Steps/second: 1.5742876873914964
INFO: Step: 450 Loss (uniform, nss, element centers, inside box): (0.019279541, [0.0007609159, 0.018508615, 1.001e-05, 0.0])    Steps/second: 1.6101192614963549
INFO: Step: 460 Loss (uniform, nss, element centers, inside box): (0.019075928, [0.0016004292, 0.017465489, 1.001e-05, 0.0])    Steps/second: 1.6302949504438307
INFO: Step: 470 Loss (uniform, nss, element centers, inside box): (0.019059345, [0.0013132715, 0.017736064, 1.001e-05, 0.0])    Steps/second: 1.5710877282144806
INFO: Step: 480 Loss (uniform, nss, element centers, inside box): (0.018575236, [0.0018201869, 0.01674504, 1.001e-05, 0.0])     Steps/second: 1.7693837464563213
INFO: Step: 490 Loss (uniform, nss, element centers, inside box): (0.019805696, [0.0008246274, 0.01897106, 1.001e-05, 0.0])     Steps/second: 1.74573588922065
INFO: Step: 500 Loss (uniform, nss, element centers, inside box): (0.019323532, [0.0004662898, 0.018847233, 1.001e-05, 0.0])    Steps/second: 1.8478219639355438
INFO: Writing checkpoint to /mnt/c/users/jryan/documents/github/ldif/ldif/trained_models//sif-transcoder-ldif_7/1-hparams/train/model.ckpt...
INFO: Step: 510 Loss (uniform, nss, element centers, inside box): (0.020510996, [0.0021472087, 0.018353777, 1.001e-05, 0.0])    Steps/second: 1.333165168781607
INFO: Step: 520 Loss (uniform, nss, element centers, inside box): (0.020152135, [0.00092103763, 0.019221088, 1.001e-05, 0.0])   Steps/second: 1.8027676193793531
INFO: Step: 530 Loss (uniform, nss, element centers, inside box): (0.020356508, [0.0009314923, 0.019415006, 1.001e-05, 0.0])    Steps/second: 1.8254225237853507
INFO: Step: 540 Loss (uniform, nss, element centers, inside box): (0.020542385, [0.0012197936, 0.019312581, 1.001e-05, 0.0])    Steps/second: 1.7490307010619441
INFO: Step: 550 Loss (uniform, nss, element centers, inside box): (0.020886926, [0.0031372637, 0.017739652, 1.001e-05, 0.0])    Steps/second: 1.821456918348667
INFO: Step: 560 Loss (uniform, nss, element centers, inside box): (0.01767648, [0.0010867282, 0.016579742, 1.001e-05, 0.0])     Steps/second: 1.612158282481703
INFO: Step: 570 Loss (uniform, nss, element centers, inside box): (0.019273428, [0.0015330783, 0.01773034, 1.001e-05, 0.0])     Steps/second: 1.7914283589719517
INFO: Step: 580 Loss (uniform, nss, element centers, inside box): (0.019339208, [0.0023104316, 0.017018767, 1.001e-05, 0.0])    Steps/second: 1.7322756011797618
INFO: Step: 590 Loss (uniform, nss, element centers, inside box): (0.017179508, [0.0010606545, 0.016108843, 1.001e-05, 0.0])    Steps/second: 1.7210901105098584
INFO: Step: 600 Loss (uniform, nss, element centers, inside box): (0.017799286, [0.0011718353, 0.016617442, 1.001e-05, 0.0])    Steps/second: 1.6676448891104478
INFO: Step: 610 Loss (uniform, nss, element centers, inside box): (0.018505728, [0.00094658736, 0.017488202, 7.0939524e-05, 0.0])       Steps/second: 1.6381632982015606
INFO: Step: 620 Loss (uniform, nss, element centers, inside box): (0.016812105, [0.00072858087, 0.016073514, 1.001e-05, 0.0])   Steps/second: 1.647616612868328
INFO: Step: 630 Loss (uniform, nss, element centers, inside box): (0.017160688, [0.0008112126, 0.016339466, 1.001e-05, 0.0])    Steps/second: 1.6072953196070912
INFO: Step: 640 Loss (uniform, nss, element centers, inside box): (0.016199974, [0.0012139115, 0.0149760535, 1.001e-05, 0.0])   Steps/second: 1.5782838464572824
INFO: Step: 650 Loss (uniform, nss, element centers, inside box): (0.015892522, [0.0004317488, 0.0154507635, 1.001e-05, 0.0])   Steps/second: 1.5019028453159353
INFO: Step: 660 Loss (uniform, nss, element centers, inside box): (0.01585121, [0.00047356376, 0.015367636, 1.001e-05, 0.0])    Steps/second: 1.5924835969751838
INFO: Step: 670 Loss (uniform, nss, element centers, inside box): (0.015937008, [0.001735901, 0.014191098, 1.001e-05, 0.0])     Steps/second: 1.6768789347976856
INFO: Step: 680 Loss (uniform, nss, element centers, inside box): (0.01727028, [0.0013616058, 0.015898664, 1.001e-05, 0.0])     Steps/second: 1.607648509949316
INFO: Step: 690 Loss (uniform, nss, element centers, inside box): (0.019802688, [0.00084285834, 0.01894982, 1.001e-05, 0.0])    Steps/second: 1.3653613783538328
INFO: Step: 700 Loss (uniform, nss, element centers, inside box): (0.015416923, [0.00022164667, 0.015185267, 1.001e-05, 0.0])   Steps/second: 1.329229984456362
INFO: Step: 710 Loss (uniform, nss, element centers, inside box): (0.015517803, [0.00046172395, 0.015046069, 1.001e-05, 0.0])   Steps/second: 1.520707184182543
INFO: Step: 720 Loss (uniform, nss, element centers, inside box): (0.017651614, [0.0010802452, 0.01656136, 1.001e-05, 0.0])     Steps/second: 1.6918684626870812
INFO: Step: 730 Loss (uniform, nss, element centers, inside box): (0.014283498, [0.0007241873, 0.013549301, 1.001e-05, 0.0])    Steps/second: 1.6248636166486166
INFO: Step: 740 Loss (uniform, nss, element centers, inside box): (0.01611729, [0.00044952353, 0.015657756, 1.001e-05, 0.0])    Steps/second: 1.6467640820220673
INFO: Step: 750 Loss (uniform, nss, element centers, inside box): (0.018897612, [0.0021201172, 0.016767485, 1.001e-05, 0.0])    Steps/second: 1.5686362507927696
INFO: Writing checkpoint to /mnt/c/users/jryan/documents/github/ldif/ldif/trained_models//sif-transcoder-ldif_7/1-hparams/train/model.ckpt...
INFO: Step: 760 Loss (uniform, nss, element centers, inside box): (0.014802135, [0.0014402672, 0.013351858, 1.001e-05, 0.0])    Steps/second: 1.1798221601855647
INFO: Step: 770 Loss (uniform, nss, element centers, inside box): (0.015429086, [0.00092108943, 0.014437196, 7.0801456e-05, 0.0])       Steps/second: 1.5201876545425688
INFO: Step: 780 Loss (uniform, nss, element centers, inside box): (0.015544053, [0.0009860331, 0.014486283, 7.173729e-05, 0.0]) Steps/second: 1.6615132063692268
INFO: Step: 790 Loss (uniform, nss, element centers, inside box): (0.014012237, [0.00071349356, 0.013288734, 1.001e-05, 0.0])   Steps/second: 1.6347905612459865
INFO: Step: 800 Loss (uniform, nss, element centers, inside box): (0.014395963, [0.00096617715, 0.013419776, 1.001e-05, 0.0])   Steps/second: 1.6550296212652025
INFO: Step: 810 Loss (uniform, nss, element centers, inside box): (0.013707635, [0.0006668508, 0.013030774, 1.001e-05, 0.0])    Steps/second: 1.7056287565895671
INFO: Step: 820 Loss (uniform, nss, element centers, inside box): (0.01849128, [0.0010921112, 0.017389158, 1.001e-05, 0.0])     Steps/second: 1.7037308228914945
INFO: Step: 830 Loss (uniform, nss, element centers, inside box): (0.015194629, [0.001270993, 0.013913627, 1.001e-05, 0.0])     Steps/second: 1.5879942103368128
INFO: Step: 840 Loss (uniform, nss, element centers, inside box): (0.01462868, [0.0011174815, 0.013501189, 1.001e-05, 0.0])     Steps/second: 1.4360696752143027
INFO: Step: 850 Loss (uniform, nss, element centers, inside box): (0.0145671945, [0.0008454411, 0.013711743, 1.001e-05, 0.0])   Steps/second: 1.415385454347645
INFO: Step: 860 Loss (uniform, nss, element centers, inside box): (0.013917493, [0.00067399506, 0.0132334875, 1.001e-05, 0.0])  Steps/second: 1.6013534999656196
INFO: Step: 870 Loss (uniform, nss, element centers, inside box): (0.014348397, [0.001142148, 0.013196239, 1.001e-05, 0.0])     Steps/second: 1.69593314059969
INFO: Step: 880 Loss (uniform, nss, element centers, inside box): (0.016898762, [0.0015946112, 0.015294142, 1.001e-05, 0.0])    Steps/second: 1.7044174126982166
